stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words,classification,confidence,method
cinephotomicrography,9999.0,68,0,0.0186199342825848,0.0,cinephotomicrography,environmental,0.599,model
squirrel,9999.0,68,0,0.0186199342825848,0.0,"squirrel, squirrels",environmental,0.875,model
envicrimenet,9999.0,67,0,0.0183461117196056,0.0,envicrimenet,environmental,0.97,model
old-growth,9999.0,67,0,0.0183461117196056,0.0,old-growth,environmental,0.561,model
unvulcanis,9999.0,67,0,0.0183461117196056,0.0,unvulcanised,environmental,0.522,model
porphyry,9999.0,67,0,0.0183461117196056,0.0,porphyry,environmental,0.79,model
asphaltit,9999.0,66,0,0.0180722891566265,0.0,asphaltites,environmental,0.746,model
hydrology,9999.0,66,0,0.0180722891566265,0.0,hydrology,environmental,0.871,model
odysse,9999.0,66,0,0.0180722891566265,0.0,odyssee,environmental,0.72,model
eufj,9999.0,65,0,0.0177984665936473,0.0,eufje,environmental,0.522,model
semi-colloid,9999.0,63,0,0.0172508214676889,0.0,semi-colloidal,environmental,0.558,model
viaduct,9999.0,62,0,0.0169769989047097,0.0,"viaduct, viaducts",environmental,0.787,model
plant-growth,9999.0,62,0,0.0169769989047097,0.0,plant-growth,environmental,0.948,model
eco-schem,9999.0,62,0,0.0169769989047097,0.0,"eco-scheme, eco-schemes",environmental,0.972,model
dune,9999.0,62,0,0.0169769989047097,0.0,"dune, dunes",environmental,0.927,model
bio-energy,9999.0,61,0,0.0167031763417305,0.0,bio-energy,environmental,0.744,model
adriatic-ionian,9999.0,61,0,0.0167031763417305,0.0,adriatic-ionian,environmental,0.752,model
protractor,9999.0,59,0,0.0161555312157721,0.0,protractors,environmental,0.589,model
spatially,9999.0,59,0,0.0161555312157721,0.0,spatially,environmental,0.505,model
polarimet,9999.0,58,0,0.0158817086527929,0.0,polarimeters,environmental,0.544,model
copolyest,9999.0,57,0,0.0156078860898138,0.0,copolyester,environmental,0.515,model
schwela,9999.0,56,0,0.0153340635268346,0.0,schwela,environmental,0.598,model
fingerl,9999.0,56,0,0.0153340635268346,0.0,fingerlings,environmental,0.569,model
ieep,9999.0,55,0,0.0150602409638554,0.0,ieep,environmental,0.65,model
espir,9999.0,55,0,0.0150602409638554,0.0,espirs,environmental,0.784,model
climatebond,9999.0,54,0,0.0147864184008762,0.0,climatebonds,environmental,0.918,model
crepe,9999.0,53,0,0.014512595837897,0.0,"crepe, crepes",environmental,0.527,model
electrodischarg,9999.0,52,0,0.0142387732749178,0.0,electrodischarge,environmental,0.726,model
sulphur-treat,9999.0,51,0,0.0139649507119386,0.0,sulphur-treated,environmental,0.752,model
polyaromat,9999.0,51,0,0.0139649507119386,0.0,"polyaromatic, polyaromatics",environmental,0.728,model
trophic,9999.0,51,0,0.0139649507119386,0.0,trophic,environmental,0.69,model
ollut,9999.0,51,0,0.0139649507119386,0.0,"ollutant, ollutants, olluter, olluting, ollution",environmental,0.636,model
roadrol,9999.0,51,0,0.0139649507119386,0.0,roadrollers,environmental,0.549,model
mire,9999.0,50,0,0.0136911281489594,0.0,"mire, mires",environmental,0.53,model
biodiversity-friendly,9999.0,50,0,0.0136911281489594,0.0,biodiversity-friendly,environmental,0.969,model
snowblow,9999.0,50,0,0.0136911281489594,0.0,snowblowers,environmental,0.602,model
carbon-neutr,9999.0,50,0,0.0136911281489594,0.0,carbon-neutral,environmental,0.652,model
bycatch,9999.0,50,0,0.0136911281489594,0.0,"bycatch, bycatches",environmental,0.765,model
sulphonaphthen,9999.0,49,0,0.0134173055859802,0.0,sulphonaphthenic,environmental,0.723,model
env_eta,9999.0,49,0,0.0134173055859802,0.0,env_eta,environmental,0.93,model
epea,9999.0,49,0,0.0134173055859802,0.0,"epea, epeas",environmental,0.815,model
agro-forestry,9999.0,49,0,0.0134173055859802,0.0,agro-forestry,environmental,0.979,model
cesec,9999.0,49,0,0.0134173055859802,0.0,cesec,environmental,0.533,model
decarboni,9999.0,48,0,0.013143483023001,0.0,"decarboni, decarbonis",environmental,0.667,model
geoss,9999.0,47,0,0.0128696604600219,0.0,geoss,environmental,0.873,model
renaturalis,9999.0,47,0,0.0128696604600219,0.0,"renaturalisation, renaturalise, renaturalising",environmental,0.685,model
macroalga,9999.0,46,0,0.0125958378970427,0.0,macroalgae,environmental,0.826,model
luminophor,9999.0,46,0,0.0125958378970427,0.0,luminophores,environmental,0.776,model
piledriv,9999.0,45,0,0.0123220153340635,0.0,piledrivers,environmental,0.808,model
phytobentho,9999.0,45,0,0.0123220153340635,0.0,phytobenthos,environmental,0.924,model
biotop,9999.0,44,0,0.0120481927710843,0.0,"biotope, biotopes",environmental,0.971,model
piezo-ignit,9999.0,44,0,0.0120481927710843,0.0,piezo-igniter,environmental,0.522,model
atrazin,9999.0,43,0,0.0117743702081051,0.0,"atrazin, atrazine",environmental,0.574,model
re-naturalis,9999.0,43,0,0.0117743702081051,0.0,"re-naturalisation, re-naturalise, re-naturalised",environmental,0.819,model
homopolymeris,9999.0,42,0,0.0115005476451259,0.0,homopolymerisation,environmental,0.547,model
xcii,9999.0,42,0,0.0115005476451259,0.0,xcii,environmental,0.509,model
rooftop,9999.0,42,0,0.0115005476451259,0.0,"rooftop, rooftops",environmental,0.511,model
prtr,9999.0,42,0,0.0115005476451259,0.0,"prtr, prtrs",environmental,1.0,known_acronym
electromobility,9999.0,41,0,0.0112267250821467,0.0,electromobility,environmental,0.604,model
phosphid,9999.0,41,0,0.0112267250821467,0.0,"phosphide, phosphides",environmental,0.714,model
cleantech,9999.0,41,0,0.0112267250821467,0.0,cleantech,environmental,0.762,model
dibromopropyl,9999.0,41,0,0.0112267250821467,0.0,dibromopropyl,environmental,0.614,model
food-farming-fisheri,9999.0,41,0,0.0112267250821467,0.0,food-farming-fisheries,environmental,0.706,model
dugong,9999.0,41,0,0.0112267250821467,0.0,"dugong, dugongs",environmental,0.695,model
griller,9999.0,41,0,0.0112267250821467,0.0,grillers,environmental,0.651,model
borid,9999.0,41,0,0.0112267250821467,0.0,"boride, borides",environmental,0.611,model
shrink-resist,9999.0,41,0,0.0112267250821467,0.0,shrink-resistance,environmental,0.506,model
eip-agri,9999.0,40,0,0.0109529025191675,0.0,eip-agri,environmental,0.969,model
manate,9999.0,40,0,0.0109529025191675,0.0,manatees,environmental,0.873,model
onserv,9999.0,40,0,0.0109529025191675,0.0,onservation,environmental,0.908,model
biodivers,9999.0,40,0,0.0109529025191675,0.0,biodiverse,environmental,0.975,model
riverbank,9999.0,39,0,0.0106790799561883,0.0,"riverbank, riverbanks",environmental,0.894,model
anti-oxidiz,9999.0,39,0,0.0106790799561883,0.0,anti-oxidizing,environmental,0.654,model
cetacea,9999.0,39,0,0.0106790799561883,0.0,cetacea,environmental,0.925,model
feldspar,9999.0,39,0,0.0106790799561883,0.0,feldspar,environmental,0.619,model
state-of-nature-in-the-eu,9999.0,39,0,0.0106790799561883,0.0,state-of-nature-in-the-eu,environmental,0.942,model
micropollut,9999.0,38,0,0.0104052573932092,0.0,"micropollutant, micropollutants, micropolluting",environmental,0.745,model
scheldt,9999.0,38,0,0.0104052573932092,0.0,scheldt,environmental,0.538,model
dichloroethan,9999.0,38,0,0.0104052573932092,0.0,"dichloroethane, dichloroethanes",environmental,0.692,model
polypeptid,9999.0,38,0,0.0104052573932092,0.0,"polypeptide, polypeptides",environmental,0.755,model
urbact,9999.0,38,0,0.0104052573932092,0.0,urbact,environmental,0.71,model
over-fish,9999.0,38,0,0.0104052573932092,0.0,"over-fished, over-fishing",environmental,0.894,model
dumpsit,9999.0,38,0,0.0104052573932092,0.0,"dumpsite, dumpsites",environmental,0.906,model
greenhouse-ga,9999.0,38,0,0.0104052573932092,0.0,greenhouse-gas,environmental,0.871,model
sea-b,9999.0,37,0,0.01013143483023,0.0,"sea-bed, sea-beds",environmental,0.849,model
panago,9999.0,37,0,0.01013143483023,0.0,panagos,environmental,0.593,model
algal,9999.0,37,0,0.01013143483023,0.0,algal,environmental,0.762,model
sea-bas,9999.0,37,0,0.01013143483023,0.0,sea-based,environmental,0.677,model
ramsar,9999.0,36,0,0.0098576122672508,0.0,ramsar,environmental,1.0,known_acronym
re-natur,9999.0,36,0,0.0098576122672508,0.0,"re-naturalization, re-naturalize, re-naturation, re-naturing",environmental,0.803,model
ferro-silico-chromium,9999.0,36,0,0.0098576122672508,0.0,ferro-silico-chromium,environmental,0.553,model
angiosperm,9999.0,36,0,0.0098576122672508,0.0,"angiosperm, angiosperms",environmental,0.949,model
fueleu,9999.0,36,0,0.0098576122672508,0.0,fueleu,environmental,0.565,model
alabast,9999.0,35,0,0.0095837897042716,0.0,alabaster,environmental,0.518,model
environmentally-harm,9999.0,35,0,0.0095837897042716,0.0,environmentally-harmful,environmental,0.864,model
mangrov,9999.0,35,0,0.0095837897042716,0.0,"mangrove, mangroves",environmental,0.966,model
hydroxylamin,9999.0,35,0,0.0095837897042716,0.0,hydroxylamine,environmental,0.522,model
ecad,9999.0,35,0,0.0095837897042716,0.0,ecade,environmental,0.928,model
circulareconomy,9999.0,35,0,0.0095837897042716,0.0,circulareconomy,environmental,0.699,model
fuel-bas,9999.0,35,0,0.0095837897042716,0.0,fuel-based,environmental,0.514,model
columbium,9999.0,35,0,0.0095837897042716,0.0,columbium,environmental,0.591,model
methylamin,9999.0,35,0,0.0095837897042716,0.0,"methylamine, methylamines",environmental,0.548,model
eco-tour,9999.0,35,0,0.0095837897042716,0.0,eco-tourism,environmental,0.983,model
lithopon,9999.0,35,0,0.0095837897042716,0.0,lithopone,environmental,0.519,model
geeref,9999.0,35,0,0.0095837897042716,0.0,geeref,environmental,0.719,model
iclei,9999.0,35,0,0.0095837897042716,0.0,iclei,environmental,0.549,model
cgiar,9999.0,35,0,0.0095837897042716,0.0,cgiar,environmental,0.517,model
methylphosphon,9999.0,34,0,0.0093099671412924,0.0,"methylphosphonate, methylphosphonic",environmental,0.657,model
simazin,9999.0,34,0,0.0093099671412924,0.0,simazine,environmental,0.547,model
therapist,9999.0,34,0,0.0093099671412924,0.0,"therapist, therapists",environmental,0.569,model
scallop,9999.0,34,0,0.0093099671412924,0.0,"scallop, scalloped, scallops",environmental,0.761,model
horizon-europe_en,9999.0,34,0,0.0093099671412924,0.0,horizon-europe_en,environmental,0.541,model
crayon,9999.0,34,0,0.0093099671412924,0.0,crayons,environmental,0.566,model
faggot,9999.0,34,0,0.0093099671412924,0.0,faggots,environmental,0.537,model
unfus,9999.0,34,0,0.0093099671412924,0.0,unfused,environmental,0.519,model
p-phenylen,9999.0,34,0,0.0093099671412924,0.0,p-phenylene,environmental,0.57,model
waterbody,9999.0,34,0,0.0093099671412924,0.0,waterbody,environmental,0.88,model
paya,9999.0,34,0,0.0093099671412924,0.0,paya,environmental,0.542,model
ecotour,9999.0,34,0,0.0093099671412924,0.0,"ecotour, ecotourism",environmental,0.972,model
superphosph,9999.0,33,0,0.0090361445783132,0.0,"superphosphate, superphosphates",environmental,0.739,model
trimethylolpropan,9999.0,33,0,0.0090361445783132,0.0,trimethylolpropane,environmental,0.508,model
eusair,9999.0,33,0,0.0090361445783132,0.0,eusair,environmental,0.878,model
leukotrien,9999.0,33,0,0.0090361445783132,0.0,"leukotriene, leukotrienes",environmental,0.824,model
air-pollutant-emissions-data-view,9999.0,33,0,0.0090361445783132,0.0,air-pollutant-emissions-data-viewer,environmental,0.79,model
rzecznika,9999.0,33,0,0.0090361445783132,0.0,rzecznika,environmental,0.67,model
water-pr,9999.0,33,0,0.0090361445783132,0.0,water-pricing,environmental,0.609,model
rucksack,9999.0,33,0,0.0090361445783132,0.0,"rucksack, rucksacks",environmental,0.504,model
sulphonitr,9999.0,33,0,0.0090361445783132,0.0,"sulphonitrate, sulphonitric",environmental,0.744,model
obywatelskich,9999.0,33,0,0.0090361445783132,0.0,obywatelskich,environmental,0.692,model
ground-wat,9999.0,32,0,0.008762322015334,0.0,"ground-water, ground-waters",environmental,0.878,model
subsea,9999.0,32,0,0.008762322015334,0.0,subsea,environmental,0.703,model
photocathod,9999.0,32,0,0.008762322015334,0.0,"photocathode, photocathodes",environmental,0.624,model
tilapia,9999.0,32,0,0.008762322015334,0.0,"tilapia, tilapias",environmental,0.889,model
hydro-morpholog,9999.0,32,0,0.008762322015334,0.0,hydro-morphological,environmental,0.688,model
nature-and-biodiversity,9999.0,32,0,0.008762322015334,0.0,nature-and-biodiversity,environmental,0.992,model
psychotherapist,9999.0,32,0,0.008762322015334,0.0,psychotherapists,environmental,0.54,model
thromboxan,9999.0,32,0,0.008762322015334,0.0,thromboxanes,environmental,0.547,model
camphor,9999.0,32,0,0.008762322015334,0.0,camphor,environmental,0.605,model
technical-support-instru,9999.0,32,0,0.008762322015334,0.0,technical-support-instrument,environmental,0.509,model
env_wasmun,9999.0,32,0,0.008762322015334,0.0,env_wasmun,environmental,0.859,model
subterranea,9999.0,31,0,0.0084884994523548,0.0,subterranea,environmental,0.801,model
obrany,9999.0,31,0,0.0084884994523548,0.0,obrany,environmental,0.677,model
siluru,9999.0,31,0,0.0084884994523548,0.0,silurus,environmental,0.554,model
environment-policy,9999.0,31,0,0.0084884994523548,0.0,environment-policy,environmental,0.875,model
esvac,9999.0,31,0,0.0084884994523548,0.0,esvac,environmental,0.793,model
chloroalkan,9999.0,31,0,0.0084884994523548,0.0,"chloroalkane, chloroalkanes",environmental,0.697,model
phosphoaminolipid,9999.0,31,0,0.0084884994523548,0.0,phosphoaminolipids,environmental,0.724,model
diazo,9999.0,31,0,0.0084884994523548,0.0,diazo,environmental,0.557,model
tetraethyl,9999.0,31,0,0.0084884994523548,0.0,tetraethyl,environmental,0.607,model
hydro-pow,9999.0,31,0,0.0084884994523548,0.0,"hydro-power, hydro-powers",environmental,0.674,model
cemetery,9999.0,31,0,0.0084884994523548,0.0,cemetery,environmental,0.923,model
niloticu,9999.0,31,0,0.0084884994523548,0.0,niloticus,environmental,0.661,model
inund,9999.0,31,0,0.0084884994523548,0.0,"inundation, inundations",environmental,0.877,model
eepr,9999.0,31,0,0.0084884994523548,0.0,eepr,environmental,0.588,model
dry-clean,9999.0,31,0,0.0084884994523548,0.0,"dry-cleaner, dry-cleaning",environmental,0.524,model
syenit,9999.0,31,0,0.0084884994523548,0.0,syenite,environmental,0.602,model
casket,9999.0,31,0,0.0084884994523548,0.0,caskets,environmental,0.506,model
rainforest,9999.0,31,0,0.0084884994523548,0.0,"rainforest, rainforests",environmental,0.959,model
thermoform,9999.0,30,0,0.0082146768893756,0.0,"thermoformed, thermoforming",environmental,0.635,model
gion,9999.0,30,0,0.0082146768893756,0.0,"gion, gions",environmental,0.702,model
headwat,9999.0,30,0,0.0082146768893756,0.0,"headwater, headwaters",environmental,0.957,model
polyamin,9999.0,30,0,0.0082146768893756,0.0,"polyamine, polyamines",environmental,0.677,model
greaseproof,9999.0,30,0,0.0082146768893756,0.0,greaseproof,environmental,0.958,model
hydantoin,9999.0,30,0,0.0082146768893756,0.0,hydantoin,environmental,0.651,model
oxometal,9999.0,30,0,0.0082146768893756,0.0,oxometallic,environmental,0.559,model
astrakhan,9999.0,30,0,0.0082146768893756,0.0,astrakhan,environmental,0.555,model
polychrom,9999.0,30,0,0.0082146768893756,0.0,"polychrome, polychromic",environmental,0.64,model
chlorosulphur,9999.0,30,0,0.0082146768893756,0.0,chlorosulphuric,environmental,0.744,model
oxbow,9999.0,30,0,0.0082146768893756,0.0,"oxbow, oxbows",environmental,0.638,model
grindston,9999.0,30,0,0.0082146768893756,0.0,grindstones,environmental,0.621,model
re-cultiv,9999.0,30,0,0.0082146768893756,0.0,re-cultivation,environmental,0.767,model
picket,9999.0,30,0,0.0082146768893756,0.0,pickets,environmental,0.579,model
energy-strategy,9999.0,30,0,0.0082146768893756,0.0,energy-strategy,environmental,0.703,model
plier,9999.0,30,0,0.0082146768893756,0.0,"plier, pliers",environmental,0.597,model
origjin,9999.0,30,0,0.0082146768893756,0.0,origjine,environmental,0.52,model
electrotherm,9999.0,30,0,0.0082146768893756,0.0,"electrothermal, electrothermic",environmental,0.548,model
opacifi,9999.0,30,0,0.0082146768893756,0.0,"opacified, opacifier, opacifiers",environmental,0.528,model
oreochromi,9999.0,30,0,0.0082146768893756,0.0,"oreochromi, oreochromis",environmental,0.724,model
rijkswaterstaat,9999.0,29,0,0.0079408543263964,0.0,rijkswaterstaat,environmental,0.684,model
sub-top,9999.0,29,0,0.0079408543263964,0.0,sub-topics,environmental,0.528,model
flood_risk,9999.0,29,0,0.0079408543263964,0.0,flood_risk,environmental,0.677,model
biorefineri,9999.0,29,0,0.0079408543263964,0.0,biorefineries,environmental,0.969,model
ferrugin,9999.0,29,0,0.0079408543263964,0.0,ferruginous,environmental,0.527,model
alewel,9999.0,29,0,0.0079408543263964,0.0,alewell,environmental,0.534,model
oxic,9999.0,29,0,0.0079408543263964,0.0,oxic,environmental,0.764,model
emission-reduct,9999.0,29,0,0.0079408543263964,0.0,emission-reduction,environmental,0.679,model
sillimanit,9999.0,29,0,0.0079408543263964,0.0,sillimanite,environmental,0.876,model
env_air_gg,9999.0,29,0,0.0079408543263964,0.0,env_air_gge,environmental,0.902,model
state-of-wat,9999.0,29,0,0.0079408543263964,0.0,state-of-water,environmental,0.796,model
waste-sort,9999.0,29,0,0.0079408543263964,0.0,waste-sorting,environmental,0.862,model
rhenium,9999.0,29,0,0.0079408543263964,0.0,rhenium,environmental,0.507,model
rewett,9999.0,29,0,0.0079408543263964,0.0,"rewetted, rewetting",environmental,0.574,model
anthropogenically,9999.0,29,0,0.0079408543263964,0.0,anthropogenically,environmental,0.739,model
turbopropel,9999.0,29,0,0.0079408543263964,0.0,"turbopropeller, turbopropellers",environmental,0.636,model
agriculture-nature-wat,9999.0,29,0,0.0079408543263964,0.0,agriculture-nature-water,environmental,0.926,model
land-degradation-neutr,9999.0,29,0,0.0079408543263964,0.0,land-degradation-neutral,environmental,0.66,model
ecaussin,9999.0,29,0,0.0079408543263964,0.0,ecaussine,environmental,0.775,model
semi-chem,9999.0,29,0,0.0079408543263964,0.0,semi-chemical,environmental,0.618,model
pre-demolit,9999.0,29,0,0.0079408543263964,0.0,pre-demolition,environmental,0.589,model
eucra,9999.0,29,0,0.0079408543263964,0.0,eucra,environmental,0.958,model
antiperspir,9999.0,29,0,0.0079408543263964,0.0,antiperspirants,environmental,0.535,model
espon,9999.0,29,0,0.0079408543263964,0.0,espon,environmental,0.696,model
environmentalprosecutor,9999.0,29,0,0.0079408543263964,0.0,environmentalprosecutors,environmental,0.826,model
andalusit,9999.0,28,0,0.0076670317634173,0.0,andalusite,environmental,0.662,model
sapelli,9999.0,28,0,0.0076670317634173,0.0,sapelli,environmental,0.535,model
wet-salt,9999.0,28,0,0.0076670317634173,0.0,wet-salted,environmental,0.531,model
unea,9999.0,28,0,0.0076670317634173,0.0,unea,environmental,0.598,model
ferrophosphoru,9999.0,28,0,0.0076670317634173,0.0,ferrophosphorus,environmental,0.812,model
peat-form,9999.0,28,0,0.0076670317634173,0.0,peat-forming,environmental,0.611,model
ef_m_farmang,9999.0,28,0,0.0076670317634173,0.0,ef_m_farmang,environmental,0.786,model
eudr,9999.0,28,0,0.0076670317634173,0.0,eudr,environmental,0.963,model
eu-et,9999.0,28,0,0.0076670317634173,0.0,eu-ets,environmental,0.503,model
carbon-fre,9999.0,28,0,0.0076670317634173,0.0,carbon-free,environmental,0.566,model
environmental-relat,9999.0,28,0,0.0076670317634173,0.0,environmental-related,environmental,0.985,model
sphagnum,9999.0,28,0,0.0076670317634173,0.0,sphagnum,environmental,0.822,model
laminatin,9999.0,28,0,0.0076670317634173,0.0,laminatin,environmental,0.504,model
environmental-implementation-review,9999.0,28,0,0.0076670317634173,0.0,environmental-implementation-review,environmental,0.892,model
ubam,9999.0,28,0,0.0076670317634173,0.0,ubam,environmental,0.505,model
diesel-electr,9999.0,28,0,0.0076670317634173,0.0,diesel-electric,environmental,0.639,model
spelter,9999.0,28,0,0.0076670317634173,0.0,spelter,environmental,0.535,model
zeylanicum,9999.0,28,0,0.0076670317634173,0.0,zeylanicum,environmental,0.574,model
h-transport,9999.0,28,0,0.0076670317634173,0.0,h-transportation,environmental,0.556,model
pumic,9999.0,28,0,0.0076670317634173,0.0,"pumice, pumicing",environmental,0.687,model
hoopwood,9999.0,28,0,0.0076670317634173,0.0,hoopwood,environmental,0.547,model
harm-to-human-health-from-air-pollut,9999.0,28,0,0.0076670317634173,0.0,harm-to-human-health-from-air-pollution,environmental,0.809,model
washbasin,9999.0,28,0,0.0076670317634173,0.0,"washbasin, washbasins",environmental,0.546,model
pre-renov,9999.0,28,0,0.0076670317634173,0.0,pre-renovation,environmental,0.547,model
decalcomania,9999.0,28,0,0.0076670317634173,0.0,decalcomanias,environmental,0.727,model
protection-sensit,9999.0,28,0,0.0076670317634173,0.0,protection-sensitive,environmental,0.624,model
cinnamomum,9999.0,28,0,0.0076670317634173,0.0,cinnamomum,environmental,0.522,model
dietician,9999.0,28,0,0.0076670317634173,0.0,dieticians,environmental,0.583,model
paraformaldehyd,9999.0,28,0,0.0076670317634173,0.0,paraformaldehyde,environmental,0.602,model
phosgen,9999.0,28,0,0.0076670317634173,0.0,phosgene,environmental,0.616,model
org_cropar,9999.0,28,0,0.0076670317634173,0.0,org_cropar,environmental,0.722,model
env_waspac,9999.0,28,0,0.0076670317634173,0.0,env_waspac,environmental,0.891,model
engob,9999.0,28,0,0.0076670317634173,0.0,engobes,environmental,0.769,model
chipwood,9999.0,28,0,0.0076670317634173,0.0,chipwood,environmental,0.587,model
diaminotoluen,9999.0,28,0,0.0076670317634173,0.0,"diaminotoluene, diaminotoluenes",environmental,0.623,model
natura-2000-baromet,9999.0,28,0,0.0076670317634173,0.0,natura-2000-barometer,environmental,0.912,model
kyanit,9999.0,28,0,0.0076670317634173,0.0,kyanite,environmental,0.528,model
seafloor,9999.0,28,0,0.0076670317634173,0.0,"seafloor, seafloors",environmental,0.847,model
nature-restoration-law_en,9999.0,27,0,0.0073932092004381,0.0,nature-restoration-law_en,environmental,0.676,model
rheostat,9999.0,27,0,0.0073932092004381,0.0,rheostats,environmental,0.705,model
climate-action-progress-report-2023-2023-10-24_en,9999.0,27,0,0.0073932092004381,0.0,climate-action-progress-report-2023-2023-10-24_en,environmental,0.826,model
poutass,9999.0,27,0,0.0073932092004381,0.0,poutassou,environmental,0.594,model
green-budgeting-eu_en,9999.0,27,0,0.0073932092004381,0.0,green-budgeting-eu_en,environmental,0.771,model
env_epi,9999.0,27,0,0.0073932092004381,0.0,env_epi,environmental,0.961,model
env_ac_epea,9999.0,27,0,0.0073932092004381,0.0,env_ac_epea,environmental,0.986,model
delivering-european-green-d,9999.0,27,0,0.0073932092004381,0.0,delivering-european-green-deal,environmental,0.703,model
climate-relev,9999.0,27,0,0.0073932092004381,0.0,climate-relevant,environmental,0.92,model
financing-water-supply-sanitation-and-flood-protection_6893cdac-en,9999.0,27,0,0.0073932092004381,0.0,financing-water-supply-sanitation-and-flood-protection_6893cdac-en,environmental,0.674,model
overview-vision-agriculture-food,9999.0,27,0,0.0073932092004381,0.0,overview-vision-agriculture-food,environmental,0.59,model
fluorosil,9999.0,27,0,0.0073932092004381,0.0,"fluorosilicate, fluorosilicates",environmental,0.684,model
biogas,9999.0,27,0,0.0073932092004381,0.0,biogases,environmental,0.908,model
eu-air-quality-standards_en,9999.0,27,0,0.0073932092004381,0.0,eu-air-quality-standards_en,environmental,0.723,model
vision-agriculture-and-food_en,9999.0,27,0,0.0073932092004381,0.0,vision-agriculture-and-food_en,environmental,0.633,model
waste-to-energy,9999.0,27,0,0.0073932092004381,0.0,waste-to-energy,environmental,0.68,model
camelid,9999.0,27,0,0.0073932092004381,0.0,camelids,environmental,0.755,model
turbelin,9999.0,27,0,0.0073932092004381,0.0,turbelin,environmental,0.548,model
arkshel,9999.0,27,0,0.0073932092004381,0.0,arkshells,environmental,0.797,model
env_ac_cur,9999.0,27,0,0.0073932092004381,0.0,env_ac_cur,environmental,0.911,model
laminaria,9999.0,27,0,0.0073932092004381,0.0,laminaria,environmental,0.704,model
ethylenediamin,9999.0,27,0,0.0073932092004381,0.0,ethylenediamine,environmental,0.531,model
proposal-directive-soil-monitoring-and-resilience_en,9999.0,27,0,0.0073932092004381,0.0,proposal-directive-soil-monitoring-and-resilience_en,environmental,0.745,model
benzaldehyd,9999.0,27,0,0.0073932092004381,0.0,benzaldehyde,environmental,0.507,model
geo-inform,9999.0,27,0,0.0073932092004381,0.0,geo-information,environmental,0.954,model
national-air-pollution-control-programmes-and-projections_en,9999.0,27,0,0.0073932092004381,0.0,national-air-pollution-control-programmes-and-projections_en,environmental,0.826,model
swale,9999.0,27,0,0.0073932092004381,0.0,"swale, swales",environmental,0.897,model
nreap,9999.0,27,0,0.0073932092004381,0.0,"nreap, nreaps",environmental,0.624,model
neobiota,9999.0,27,0,0.0073932092004381,0.0,neobiota,environmental,0.79,model
nspire,9999.0,27,0,0.0073932092004381,0.0,nspire,environmental,0.628,model
grime,9999.0,27,0,0.0073932092004381,0.0,grime,environmental,0.536,model
bioeconom,9999.0,27,0,0.0073932092004381,0.0,"bioeconom, bioeconomic, bioeconomics",environmental,0.813,model
reducing-emissions-air-pollutants_en,9999.0,27,0,0.0073932092004381,0.0,reducing-emissions-air-pollutants_en,environmental,0.863,model
bio-methan,9999.0,27,0,0.0073932092004381,0.0,bio-methane,environmental,0.801,model
