stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words,classification,confidence,model,relevant,notes
eco-schem,9999.0,62,0,0.0169769989047097,0.0,"eco-scheme, eco-schemes",environmental,0.972,model,1,NA
dune,9999.0,62,0,0.0169769989047097,0.0,"dune, dunes",environmental,0.927,model,1,NA
bio-energy,9999.0,61,0,0.0167031763417305,0.0,bio-energy,environmental,0.744,model,1,NA
adriatic-ionian,9999.0,61,0,0.0167031763417305,0.0,adriatic-ionian,environmental,0.752,model,1,NA
ieep,9999.0,55,0,0.0150602409638554,0.0,ieep,environmental,0.65,model,1,NA
espir,9999.0,55,0,0.0150602409638554,0.0,espirs,environmental,0.784,model,1,NA
climatebond,9999.0,54,0,0.0147864184008762,0.0,climatebonds,environmental,0.918,model,1,NA
sulphur-treat,9999.0,51,0,0.0139649507119386,0.0,sulphur-treated,environmental,0.752,model,1,NA
polyaromat,9999.0,51,0,0.0139649507119386,0.0,"polyaromatic, polyaromatics",environmental,0.728,model,1,major pollutant
biodiversity-friendly,9999.0,50,0,0.0136911281489594,0.0,biodiversity-friendly,environmental,0.969,model,1,NA
carbon-neutr,9999.0,50,0,0.0136911281489594,0.0,carbon-neutral,environmental,0.652,model,1,NA
bycatch,9999.0,50,0,0.0136911281489594,0.0,"bycatch, bycatches",environmental,0.765,model,1,additional/ harmful catch from fishing
env_eta,9999.0,49,0,0.0134173055859802,0.0,env_eta,environmental,0.93,model,1,NA
epea,9999.0,49,0,0.0134173055859802,0.0,"epea, epeas",environmental,0.815,model,1,NA
agro-forestry,9999.0,49,0,0.0134173055859802,0.0,agro-forestry,environmental,0.979,model,1,NA
decarboni,9999.0,48,0,0.013143483023001,0.0,"decarboni, decarbonis",environmental,0.667,model,1,NA
geoss,9999.0,47,0,0.0128696604600219,0.0,geoss,environmental,0.873,model,1,NA
renaturalis,9999.0,47,0,0.0128696604600219,0.0,"renaturalisation, renaturalise, renaturalising",environmental,0.685,model,1,NA
macroalga,9999.0,46,0,0.0125958378970427,0.0,macroalgae,environmental,0.826,model,1,keystone species
luminophor,9999.0,46,0,0.0125958378970427,0.0,luminophores,environmental,0.776,model,1,review - cold energy source?
phytobentho,9999.0,45,0,0.0123220153340635,0.0,phytobenthos,environmental,0.924,model,1,keystone species
biotop,9999.0,44,0,0.0120481927710843,0.0,"biotope, biotopes",environmental,0.971,model,1,specific environment
atrazin,9999.0,43,0,0.0117743702081051,0.0,"atrazin, atrazine",environmental,0.574,model,1,major pollutant
re-naturalis,9999.0,43,0,0.0117743702081051,0.0,"re-naturalisation, re-naturalise, re-naturalised",environmental,0.819,model,1,NA
prtr,9999.0,42,0,0.0115005476451259,0.0,"prtr, prtrs",environmental,1.0,known_acronym,1,NA
cleantech,9999.0,41,0,0.0112267250821467,0.0,cleantech,environmental,0.762,model,1,NA
dibromopropyl,9999.0,41,0,0.0112267250821467,0.0,dibromopropyl,environmental,0.614,model,1,major pollutant
dugong,9999.0,41,0,0.0112267250821467,0.0,"dugong, dugongs",environmental,0.695,model,1,keystone species
eip-agri,9999.0,40,0,0.0109529025191675,0.0,eip-agri,environmental,0.969,model,1,NA
manate,9999.0,40,0,0.0109529025191675,0.0,manatees,environmental,0.873,model,1,keystone species
onserv,9999.0,40,0,0.0109529025191675,0.0,onservation,environmental,0.908,model,1,species indicative of environmental health
biodivers,9999.0,40,0,0.0109529025191675,0.0,biodiverse,environmental,0.975,model,1,NA
riverbank,9999.0,39,0,0.0106790799561883,0.0,"riverbank, riverbanks",environmental,0.894,model,1,specific environment
cetacea,9999.0,39,0,0.0106790799561883,0.0,cetacea,environmental,0.925,model,1,species indicative of environmental health
state-of-nature-in-the-eu,9999.0,39,0,0.0106790799561883,0.0,state-of-nature-in-the-eu,environmental,0.942,model,1,NA
micropollut,9999.0,38,0,0.0104052573932092,0.0,"micropollutant, micropollutants, micropolluting",environmental,0.745,model,1,NA
scheldt,9999.0,38,0,0.0104052573932092,0.0,scheldt,environmental,0.538,model,1,specific river
urbact,9999.0,38,0,0.0104052573932092,0.0,urbact,environmental,0.71,model,1,legislation
over-fish,9999.0,38,0,0.0104052573932092,0.0,"over-fished, over-fishing",environmental,0.894,model,1,NA
dumpsit,9999.0,38,0,0.0104052573932092,0.0,"dumpsite, dumpsites",environmental,0.906,model,1,NA
greenhouse-ga,9999.0,38,0,0.0104052573932092,0.0,greenhouse-gas,environmental,0.871,model,1,NA
sea-b,9999.0,37,0,0.01013143483023,0.0,"sea-bed, sea-beds",environmental,0.849,model,1,specific environment
panago,9999.0,37,0,0.01013143483023,0.0,panagos,environmental,0.593,model,1,leading environmental scientist
sea-bas,9999.0,37,0,0.01013143483023,0.0,sea-based,environmental,0.677,model,1,specific environment
ramsar,9999.0,36,0,0.0098576122672508,0.0,ramsar,environmental,1.0,known_acronym,1,NA
re-natur,9999.0,36,0,0.0098576122672508,0.0,"re-naturalization, re-naturalize, re-naturation, re-naturing",environmental,0.803,model,1,NA
angiosperm,9999.0,36,0,0.0098576122672508,0.0,"angiosperm, angiosperms",environmental,0.949,model,1,species indicative of environmental health
environmentally-harm,9999.0,35,0,0.0095837897042716,0.0,environmentally-harmful,environmental,0.864,model,1,NA
mangrov,9999.0,35,0,0.0095837897042716,0.0,"mangrove, mangroves",environmental,0.966,model,1,species indicative of environmental health
circulareconomy,9999.0,35,0,0.0095837897042716,0.0,circulareconomy,environmental,0.699,model,1,pardigmatic
eco-tour,9999.0,35,0,0.0095837897042716,0.0,eco-tourism,environmental,0.983,model,1,NA
geeref,9999.0,35,0,0.0095837897042716,0.0,geeref,environmental,0.719,model,1,NA
iclei,9999.0,35,0,0.0095837897042716,0.0,iclei,environmental,0.549,model,1,NA
cgiar,9999.0,35,0,0.0095837897042716,0.0,cgiar,environmental,0.517,model,1,NA
scallop,9999.0,34,0,0.0093099671412924,0.0,"scallop, scalloped, scallops",environmental,0.761,model,1,species indicative of environmental health/ greener food source
horizon-europe_en,9999.0,34,0,0.0093099671412924,0.0,horizon-europe_en,environmental,0.541,model,1,NA
waterbody,9999.0,34,0,0.0093099671412924,0.0,waterbody,environmental,0.88,model,1,specific environment
ecotour,9999.0,34,0,0.0093099671412924,0.0,"ecotour, ecotourism",environmental,0.972,model,1,NA
superphosph,9999.0,33,0,0.0090361445783132,0.0,"superphosphate, superphosphates",environmental,0.739,model,1,major pollutant
eusair,9999.0,33,0,0.0090361445783132,0.0,eusair,environmental,0.878,model,1,framework
air-pollutant-emissions-data-view,9999.0,33,0,0.0090361445783132,0.0,air-pollutant-emissions-data-viewer,environmental,0.79,model,1,NA
sulphonitr,9999.0,33,0,0.0090361445783132,0.0,"sulphonitrate, sulphonitric",environmental,0.744,model,1,major pollutant
ground-wat,9999.0,32,0,0.008762322015334,0.0,"ground-water, ground-waters",environmental,0.878,model,1,NA
subsea,9999.0,32,0,0.008762322015334,0.0,subsea,environmental,0.703,model,1,specific environment
tilapia,9999.0,32,0,0.008762322015334,0.0,"tilapia, tilapias",environmental,0.889,model,1,low-impact aquaculture/ invasive species
hydro-morpholog,9999.0,32,0,0.008762322015334,0.0,hydro-morphological,environmental,0.688,model,1,NA
nature-and-biodiversity,9999.0,32,0,0.008762322015334,0.0,nature-and-biodiversity,environmental,0.992,model,1,NA
env_wasmun,9999.0,32,0,0.008762322015334,0.0,env_wasmun,environmental,0.859,model,1,NA
subterranea,9999.0,31,0,0.0084884994523548,0.0,subterranea,environmental,0.801,model,1,specific environment
environment-policy,9999.0,31,0,0.0084884994523548,0.0,environment-policy,environmental,0.875,model,1,NA
phosphoaminolipid,9999.0,31,0,0.0084884994523548,0.0,phosphoaminolipids,environmental,0.724,model,1,environmental indicator
hydro-pow,9999.0,31,0,0.0084884994523548,0.0,"hydro-power, hydro-powers",environmental,0.674,model,1,NA
rainforest,9999.0,31,0,0.0084884994523548,0.0,"rainforest, rainforests",environmental,0.959,model,1,specific environment
headwat,9999.0,30,0,0.0082146768893756,0.0,"headwater, headwaters",environmental,0.957,model,1,NA
re-cultiv,9999.0,30,0,0.0082146768893756,0.0,re-cultivation,environmental,0.767,model,1,NA
energy-strategy,9999.0,30,0,0.0082146768893756,0.0,energy-strategy,environmental,0.703,model,1,NA
oreochromi,9999.0,30,0,0.0082146768893756,0.0,"oreochromi, oreochromis",environmental,0.724,model,1,low-impact aquaculture/ invasive species
flood_risk,9999.0,29,0,0.0079408543263964,0.0,flood_risk,environmental,0.677,model,1,NA
biorefineri,9999.0,29,0,0.0079408543263964,0.0,biorefineries,environmental,0.969,model,1,NA
alewel,9999.0,29,0,0.0079408543263964,0.0,alewell,environmental,0.534,model,1,leading environmental scientist
emission-reduct,9999.0,29,0,0.0079408543263964,0.0,emission-reduction,environmental,0.679,model,1,NA
env_air_gg,9999.0,29,0,0.0079408543263964,0.0,env_air_gge,environmental,0.902,model,1,NA
state-of-wat,9999.0,29,0,0.0079408543263964,0.0,state-of-water,environmental,0.796,model,1,NA
waste-sort,9999.0,29,0,0.0079408543263964,0.0,waste-sorting,environmental,0.862,model,1,NA
rewett,9999.0,29,0,0.0079408543263964,0.0,"rewetted, rewetting",environmental,0.574,model,1,NA
anthropogenically,9999.0,29,0,0.0079408543263964,0.0,anthropogenically,environmental,0.739,model,1,NA
agriculture-nature-wat,9999.0,29,0,0.0079408543263964,0.0,agriculture-nature-water,environmental,0.926,model,1,NA
land-degradation-neutr,9999.0,29,0,0.0079408543263964,0.0,land-degradation-neutral,environmental,0.66,model,1,NA
eucra,9999.0,29,0,0.0079408543263964,0.0,eucra,environmental,0.958,model,1,NA
environmentalprosecutor,9999.0,29,0,0.0079408543263964,0.0,environmentalprosecutors,environmental,0.826,model,1,NA
peat-form,9999.0,28,0,0.0076670317634173,0.0,peat-forming,environmental,0.611,model,1,NA
eudr,9999.0,28,0,0.0076670317634173,0.0,eudr,environmental,0.963,model,1,NA
eu-et,9999.0,28,0,0.0076670317634173,0.0,eu-ets,environmental,0.503,model,1,legislation
carbon-fre,9999.0,28,0,0.0076670317634173,0.0,carbon-free,environmental,0.566,model,1,NA
environmental-relat,9999.0,28,0,0.0076670317634173,0.0,environmental-related,environmental,0.985,model,1,NA
sphagnum,9999.0,28,0,0.0076670317634173,0.0,sphagnum,environmental,0.822,model,1,NA
environmental-implementation-review,9999.0,28,0,0.0076670317634173,0.0,environmental-implementation-review,environmental,0.892,model,1,NA
harm-to-human-health-from-air-pollut,9999.0,28,0,0.0076670317634173,0.0,harm-to-human-health-from-air-pollution,environmental,0.809,model,1,NA
org_cropar,9999.0,28,0,0.0076670317634173,0.0,org_cropar,environmental,0.722,model,1,NA
env_waspac,9999.0,28,0,0.0076670317634173,0.0,env_waspac,environmental,0.891,model,1,NA
natura-2000-baromet,9999.0,28,0,0.0076670317634173,0.0,natura-2000-barometer,environmental,0.912,model,1,NA
seafloor,9999.0,28,0,0.0076670317634173,0.0,"seafloor, seafloors",environmental,0.847,model,1,specific environment
nature-restoration-law_en,9999.0,27,0,0.0073932092004381,0.0,nature-restoration-law_en,environmental,0.676,model,1,NA
climate-action-progress-report-2023-2023-10-24_en,9999.0,27,0,0.0073932092004381,0.0,climate-action-progress-report-2023-2023-10-24_en,environmental,0.826,model,1,NA
green-budgeting-eu_en,9999.0,27,0,0.0073932092004381,0.0,green-budgeting-eu_en,environmental,0.771,model,1,NA
env_epi,9999.0,27,0,0.0073932092004381,0.0,env_epi,environmental,0.961,model,1,NA
env_ac_epea,9999.0,27,0,0.0073932092004381,0.0,env_ac_epea,environmental,0.986,model,1,NA
delivering-european-green-d,9999.0,27,0,0.0073932092004381,0.0,delivering-european-green-deal,environmental,0.703,model,1,NA
climate-relev,9999.0,27,0,0.0073932092004381,0.0,climate-relevant,environmental,0.92,model,1,NA
financing-water-supply-sanitation-and-flood-protection_6893cdac-en,9999.0,27,0,0.0073932092004381,0.0,financing-water-supply-sanitation-and-flood-protection_6893cdac-en,environmental,0.674,model,1,NA
biogas,9999.0,27,0,0.0073932092004381,0.0,biogases,environmental,0.908,model,1,NA
eu-air-quality-standards_en,9999.0,27,0,0.0073932092004381,0.0,eu-air-quality-standards_en,environmental,0.723,model,1,NA
waste-to-energy,9999.0,27,0,0.0073932092004381,0.0,waste-to-energy,environmental,0.68,model,1,NA
camelid,9999.0,27,0,0.0073932092004381,0.0,camelids,environmental,0.755,model,1,low impact species
arkshel,9999.0,27,0,0.0073932092004381,0.0,arkshells,environmental,0.797,model,1,species indicative of environmental health
env_ac_cur,9999.0,27,0,0.0073932092004381,0.0,env_ac_cur,environmental,0.911,model,1,NA
laminaria,9999.0,27,0,0.0073932092004381,0.0,laminaria,environmental,0.704,model,1,keystone species
proposal-directive-soil-monitoring-and-resilience_en,9999.0,27,0,0.0073932092004381,0.0,proposal-directive-soil-monitoring-and-resilience_en,environmental,0.745,model,1,NA
national-air-pollution-control-programmes-and-projections_en,9999.0,27,0,0.0073932092004381,0.0,national-air-pollution-control-programmes-and-projections_en,environmental,0.826,model,1,NA
swale,9999.0,27,0,0.0073932092004381,0.0,"swale, swales",environmental,0.897,model,1,specific environment
nreap,9999.0,27,0,0.0073932092004381,0.0,"nreap, nreaps",environmental,0.624,model,1,NA
neobiota,9999.0,27,0,0.0073932092004381,0.0,neobiota,environmental,0.79,model,1,NA
bioeconom,9999.0,27,0,0.0073932092004381,0.0,"bioeconom, bioeconomic, bioeconomics",environmental,0.813,model,1,NA
reducing-emissions-air-pollutants_en,9999.0,27,0,0.0073932092004381,0.0,reducing-emissions-air-pollutants_en,environmental,0.863,model,1,NA
bio-methan,9999.0,27,0,0.0073932092004381,0.0,bio-methane,environmental,0.801,model,1,NA
fight-against-environmental-crime-at-a-strategic-level-through-the-strengthening-of-envicrimenet-network-of-experts-in-environmental-criminal-investig,9999.0,27,0,0.0073932092004381,0.0,fight-against-environmental-crime-at-a-strategic-level-through-the-strengthening-of-envicrimenet-network-of-experts-in-environmental-criminal-investigations,environmental,0.872,model,1,NA
forest-relat,9999.0,27,0,0.0073932092004381,0.0,forest-related,environmental,0.96,model,1,NA
clean-air-outlook_en,9999.0,27,0,0.0073932092004381,0.0,clean-air-outlook_en,environmental,0.846,model,1,NA
renewable-energy,9999.0,27,0,0.0073932092004381,0.0,renewable-energy,environmental,0.694,model,1,NA
national-air-pollutant-emissions-data-view,9999.0,27,0,0.0073932092004381,0.0,national-air-pollutant-emissions-data-viewer,environmental,0.786,model,1,NA
env_ac_rp,9999.0,27,0,0.0073932092004381,0.0,env_ac_rp,environmental,0.83,model,1,NA
eper,9999.0,27,0,0.0073932092004381,0.0,eper,environmental,1.0,known_acronym,1,NA
agro-ecology,9999.0,27,0,0.0073932092004381,0.0,agro-ecology,environmental,0.997,model,1,NA
env_wasgen,9999.0,27,0,0.0073932092004381,0.0,env_wasgen,environmental,0.942,model,1,NA
clofenotan,9999.0,27,0,0.0073932092004381,0.0,clofenotane,environmental,0.638,model,1,major pollutant
estimating-investment-needs-and-financing-capacities-water-related-investment-eu-member-states-2020-05-28_en,9999.0,27,0,0.0073932092004381,0.0,estimating-investment-needs-and-financing-capacities-water-related-investment-eu-member-states-2020-05-28_en,environmental,0.695,model,1,NA
rhopilema,9999.0,27,0,0.0073932092004381,0.0,rhopilema,environmental,0.509,model,1,invasive species
rena,9999.0,27,0,0.0073932092004381,0.0,rena,environmental,0.702,model,1,NA
financing-natura-2000_en,9999.0,27,0,0.0073932092004381,0.0,financing-natura-2000_en,environmental,0.854,model,1,NA
reducing-emissions-air-pollut,9999.0,27,0,0.0073932092004381,0.0,reducing-emissions-air-pollutants,environmental,0.866,model,1,NA
business-and-biodiversity_en,9999.0,26,0,0.0071193866374589,0.0,business-and-biodiversity_en,environmental,0.953,model,1,NA
squalu,9999.0,26,0,0.0071193866374589,0.0,squalus,environmental,0.77,model,1,endangered species
e-seveso,9999.0,26,0,0.0071193866374589,0.0,e-seveso,environmental,0.734,model,1,NA
geologist,9999.0,26,0,0.0071193866374589,0.0,"geologist, geologists",environmental,0.96,model,1,NA
water_en,9999.0,26,0,0.0071193866374589,0.0,water_en,environmental,0.813,model,1,NA
dir200760ec,9999.0,26,0,0.0071193866374589,0.0,dir200760ec,environmental,0.696,model,1,legislation
esdac,9999.0,26,0,0.0071193866374589,0.0,esdac,environmental,0.588,model,1,NA
dibromoethan,9999.0,26,0,0.0071193866374589,0.0,dibromoethane,environmental,0.76,model,1,major pollutant
estuarin,9999.0,26,0,0.0071193866374589,0.0,estuarine,environmental,0.982,model,1,specific environment
industrial-pollutant-releases-to-wat,9999.0,25,0,0.0068455640744797,0.0,industrial-pollutant-releases-to-water,environmental,0.802,model,1,NA
brackish-wat,9999.0,25,0,0.0068455640744797,0.0,brackish-water,environmental,0.615,model,1,specific environment
national-energy-and-climate-plans-necps_en,9999.0,25,0,0.0068455640744797,0.0,national-energy-and-climate-plans-necps_en,environmental,0.893,model,1,NA
virola,9999.0,24,0,0.0065717415115005,0.0,virola,environmental,0.838,model,1,keystone species
nitrates_en,9999.0,24,0,0.0065717415115005,0.0,nitrates_en,environmental,0.556,model,1,major pollutant
water-us,9999.0,24,0,0.0065717415115005,0.0,"water-use, water-using",environmental,0.745,model,1,NA
phosphamidon,9999.0,24,0,0.0065717415115005,0.0,phosphamidon,environmental,0.569,model,1,major pollutant
env_ep,9999.0,24,0,0.0065717415115005,0.0,env_epe,environmental,0.952,model,1,NA
monocrotopho,9999.0,24,0,0.0065717415115005,0.0,monocrotophos,environmental,0.72,model,1,major pollutant
water-depend,9999.0,24,0,0.0065717415115005,0.0,"water-dependant, water-dependent",environmental,0.912,model,1,NA
eco-driv,9999.0,24,0,0.0065717415115005,0.0,eco-driving,environmental,0.995,model,1,NA
energinet,9999.0,24,0,0.0065717415115005,0.0,"energinet, energinets",environmental,0.97,model,1,private company
waterbas,9999.0,23,0,0.0062979189485213,0.0,"waterbase, waterbased",environmental,0.953,model,1,specific environment
chlorobenzil,9999.0,23,0,0.0062979189485213,0.0,chlorobenzilate,environmental,0.642,model,1,major pollutant
chionoecet,9999.0,23,0,0.0062979189485213,0.0,chionoecetes,environmental,0.935,model,1,invasive species
groundwater-depend,9999.0,23,0,0.0062979189485213,0.0,groundwater-dependent,environmental,0.884,model,1,NA
environmentally-relat,9999.0,23,0,0.0062979189485213,0.0,environmentally-related,environmental,0.982,model,1,NA
carbon-rich,9999.0,23,0,0.0062979189485213,0.0,carbon-rich,environmental,0.609,model,1,NA
sulphonyl,9999.0,23,0,0.0062979189485213,0.0,sulphonyl,environmental,0.623,model,1,major pollutant
agri-environmental-clim,9999.0,23,0,0.0062979189485213,0.0,agri-environmental-climate,environmental,0.983,model,1,NA
biodiversity-rich,9999.0,23,0,0.0062979189485213,0.0,biodiversity-rich,environmental,0.952,model,1,NA
pastoralist,9999.0,23,0,0.0062979189485213,0.0,"pastoralist, pastoralists",environmental,0.601,model,1,NA
wateronlin,9999.0,23,0,0.0062979189485213,0.0,wateronline,environmental,0.814,model,1,legislation
eusdr,9999.0,23,0,0.0062979189485213,0.0,eusdr,environmental,0.865,model,1,NA
paralithod,9999.0,23,0,0.0062979189485213,0.0,paralithodes,environmental,0.672,model,1,invasive species
roundwood,9999.0,23,0,0.0062979189485213,0.0,roundwood,environmental,0.522,model,1,NA
overgraz,9999.0,23,0,0.0062979189485213,0.0,overgrazing,environmental,0.821,model,1,NA
climate-sensit,9999.0,22,0,0.0060240963855421,0.0,climate-sensitive,environmental,0.894,model,1,NA
coal-bas,9999.0,22,0,0.0060240963855421,0.0,coal-based,environmental,0.751,model,1,NA
ecoreg,9999.0,22,0,0.0060240963855421,0.0,"ecoregion, ecoregions",environmental,0.991,model,1,NA
land-degrad,9999.0,22,0,0.0060240963855421,0.0,land-degradation,environmental,0.737,model,1,NA
phosphorothio,9999.0,22,0,0.0060240963855421,0.0,"phosphorothioate, phosphorothioates",environmental,0.723,model,1,major pollutant
de-carbonis,9999.0,22,0,0.0060240963855421,0.0,"de-carbonisation, de-carbonise, de-carbonised, de-carbonising",environmental,0.759,model,1,NA
co2e,9999.0,22,0,0.0060240963855421,0.0,co2e,environmental,0.852,model,1,NA
enveco,9999.0,22,0,0.0060240963855421,0.0,enveco,environmental,0.89,model,1,private company
state-of-the-environ,9999.0,22,0,0.0060240963855421,0.0,state-of-the-environment,environmental,0.941,model,1,NA
stormwat,9999.0,22,0,0.0060240963855421,0.0,stormwater,environmental,0.935,model,1,NA
lizard,9999.0,21,0,0.0057502738225629,0.0,"lizard, lizards",environmental,0.767,model,1,endangered species - cool lizards
water-sav,9999.0,21,0,0.0057502738225629,0.0,water-saving,environmental,0.793,model,1,NA
general-information-on-habitats-and-speci,9999.0,21,0,0.0057502738225629,0.0,general-information-on-habitats-and-species,environmental,0.885,model,1,NA
tetrafluorid,9999.0,21,0,0.0057502738225629,0.0,tetrafluoride,environmental,0.635,model,1,major pollutant
clean-air,9999.0,20,0,0.0054764512595837,0.0,clean-air,environmental,0.783,model,1,NA
sea-relat,9999.0,20,0,0.0054764512595837,0.0,sea-related,environmental,0.835,model,1,specific environment
greenhouse-gases-view,9999.0,20,0,0.0054764512595837,0.0,greenhouse-gases-viewer,environmental,0.909,model,1,NA
species-rich,9999.0,20,0,0.0054764512595837,0.0,species-rich,environmental,0.818,model,1,NA
agro-chem,9999.0,20,0,0.0054764512595837,0.0,"agro-chemical, agro-chemicals",environmental,0.64,model,1,NA
windfarm,9999.0,20,0,0.0054764512595837,0.0,"windfarm, windfarms",environmental,0.835,model,1,NA
difluoromethan,9999.0,20,0,0.0054764512595837,0.0,difluoromethane,environmental,0.686,model,1,substitute for major pollutant
soer,9999.0,20,0,0.0054764512595837,0.0,soer,environmental,1.0,known_acronym,1,NA
ecgonin,9999.0,20,0,0.0054764512595837,0.0,ecgonine,environmental,0.979,model,1,environmental health indicator
granivor,9999.0,20,0,0.0054764512595837,0.0,"granivore, granivores",environmental,0.956,model,1,managing habitats
seagrass,9999.0,20,0,0.0054764512595837,0.0,"seagrass, seagrasses",environmental,0.982,model,1,NA
micro-plast,9999.0,20,0,0.0054764512595837,0.0,"micro-plast, micro-plastic, micro-plastics",environmental,0.72,model,1,NA
camchaticu,9999.0,20,0,0.0054764512595837,0.0,camchaticus,environmental,0.832,model,1,invasive species
rbmp,980.6284227820372,215,1,0.0588718510405257,6.003482019571351e-05,"rbmp, rbmps",environmental,1.0,known_acronym,1,NA
reforest,811.869112814896,178,1,0.0487404162102957,6.003482019571351e-05,"reforest, reforestation, reforested, reforesting",environmental,0.974,model,1,NA
msfd,766.2584884994524,168,1,0.0460021905805038,6.003482019571351e-05,"msfd, msfds",environmental,1.0,known_acronym,1,NA
water-relat,670.4761774370209,147,1,0.0402519167579408,6.003482019571351e-05,water-related,environmental,0.864,model,1,NA
cropland,643.1098028477546,141,1,0.0386089813800657,6.003482019571351e-05,"cropland, croplands",environmental,0.81,model,1,NA
peatland,643.1098028477546,141,1,0.0386089813800657,6.003482019571351e-05,"peatland, peatlands",environmental,0.963,model,1,NA
runoff,515.4000547645127,113,1,0.0309419496166484,6.003482019571351e-05,"runoff, runoffs",environmental,0.84,model,1,NA
carbon-intens,442.4230558598029,97,1,0.0265607886089813,6.003482019571351e-05,"carbon-intense, carbon-intensive",environmental,0.514,model,1,NA
floodplain,437.8619934282585,96,1,0.0262869660460021,6.003482019571351e-05,"floodplain, floodplains",environmental,0.926,model,1,NA
sub-basin,428.7398685651698,94,1,0.0257393209200438,6.003482019571351e-05,"sub-basin, sub-basins",environmental,0.632,model,1,NA
climate-friendly,415.0566812705366,91,1,0.0249178532311062,6.003482019571351e-05,climate-friendly,environmental,0.922,model,1,NA
wildfir,369.4460569550931,81,1,0.0221796276013143,6.003482019571351e-05,"wildfire, wildfires",environmental,0.915,model,1,NA
bio-fuel,346.6407447973713,76,1,0.0208105147864184,6.003482019571351e-05,"bio-fuel, bio-fuels",environmental,0.693,model,1,NA
pluvial,342.07968236582695,75,1,0.0205366922234392,6.003482019571351e-05,"pluvial, pluviales",environmental,0.861,model,1,specific environment
benthic,342.07968236582695,75,1,0.0205366922234392,6.003482019571351e-05,benthic,environmental,0.773,model,1,specific environment
co2eq,328.3964950711939,72,1,0.0197152245345016,6.003482019571351e-05,co2eq,environmental,0.883,model,1,NA
bioeconomy,323.8354326396495,213,3,0.0583242059145673,0.0001801044605871,bioeconomy,environmental,0.923,model,1,NA
climate-neutr,322.3150784958014,212,3,0.0580503833515881,0.0001801044605871,climate-neutral,environmental,0.823,model,1,NA
zero-pollut,319.2743702081051,70,1,0.0191675794085432,6.003482019571351e-05,zero-pollution,environmental,0.706,model,1,NA
hydropow,311.97667031763416,342,5,0.0936473165388828,0.0003001741009785,"hydropow, hydropower",environmental,0.624,model,1,NA
on-shor,310.1522453450164,68,1,0.0186199342825848,6.003482019571351e-05,"on-shore, on-shores",environmental,0.569,model,1,NA
lulucf,308.6318912011683,203,3,0.0555859802847754,0.0001801044605871,lulucf,environmental,1.0,known_acronym,1,NA
phytoplankton,296.46905805038335,65,1,0.0177984665936473,6.003482019571351e-05,phytoplankton,environmental,0.979,model,1,environmental health indicator
